UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,TIPO NOVO DO ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,GESTÃO,CONVÊNIO SUS,CATEGORIA NATUREZA JURÍDICA,SERVIÇO,SERVIÇO CLASSIFICAÇÃO,SERVIÇO - AMBULATORIAL SUS,SERVIÇO - AMBULATORIAL NÃO SUS,SERVIÇO - HOSPITALAR SUS,SERVIÇO - HOSPITALAR NÃO SUS,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,NO_EMAIL,NO_URL
MA,210675,MIRANDA DO NORTE,2455463,HOSPITAL MUNICIPAL PEDRO VERA CRUZ BEZERRA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA TIRADENTES,S/N,,SANTA CRUZ,65495000,(98) 3464-1139,-3.559146133854283,-44.58645615241053,semusmiranda@hotmail.com,
PA,150553,PARAUAPEBAS,2615746,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA A QD 07 LT ESPECIAL,433,,CIDADE NOVA,68515000,(94)33468533,-6.062351523742029,-49.90984593338561,marcelolopes.hgp@aselc.org.br,
RN,240810,NATAL,2408570,HOSPITAL DR JOSE PEDRO BEZERRA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,DUPLA,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA ARAQUARI,S/N,,POTENGI,59110390,(84)3232-7713,-5.754406,-35.256352,faturahjpb@rn.gov.br,
PA,150360,ITAITUBA,2620073,UNIDADE DE SAUDE DA FAMILIA JARDIM DAS ARARAS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA ANTONIO GOMES DE PADUA,S/N,TERCEIRA RUA,JARDIM DAS ARARAS,68180120,,-4.264813388296912,-55.97893863916397,,
SP,350320,ARARAQUARA,6943284,MATERNIDADE GOTA DE LEITE DE ARARAQUARA,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,CARLOS GOMES,1610,,CENTRO,14801340,16 33051530,-21.793912592611065,-48.17907214164734,gabinetesaude@araraquara.sp.gov.br,
DF,530010,BRASILIA,10847,UBS 3 GAMA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,EQ 3 5 AREA ESPECIAL SETOR LESTE GAMA,S/N,SETOR LESTE,GAMA,72450035,6134497375,-16.005834275683597,-48.0527400970459,,
PE,261160,RECIFE,1414,US 117 USF MAIS GASPAR REGUEIRA COSTA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA PADRE DIOGO RODRIGUES,144,,BARRO,50900110,(81) 33554404,-8.0888796,-34.9379383,,
GO,520380,BRITANIA,2382385,UBS 302,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV BRASILIA,S/N,,CENTRO,76281088,(62) 3383-1236,-15.245247211603399,-51.164188385009766,smsbritania@hotmail.com,
DF,530010,BRASILIA,7111924,UPA NUCLEO BANDEIRANTE,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,003 UPA,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,DF 075 KM 180 PLACA DAS MERCEDES,180,,NUCLEO BANDEIRANTE,71732010,35508817,-15.876004,-47.982620,upanb@igesdf.org.br,
BA,292740,SALVADOR,4081,MATERNIDADE MARIA DA CONCEICAO DE JESUS,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV AFRANIO PEIXOTO,1492,,COUTOS,40470630,(71) 3307-8601,-12.848721,-38.473430,mmcj.diretoriageral@saude.ba.gov.br,
