UF;SINAN – Mulheres;SINAN – Total;ANUÁRIO SEGURANÇA PÚBLICA – Mulheres;ANUÁRIO SEGURANÇA PÚBLICA – Total
11 Rondônia;269;294;;
12 Acre;374;386;860;991
13 Amazonas;2279;2447;1353;1551
14 Roraima;359;381;848;982
15 Pará;2619;2849;4815;5379
16 Amapá;239;247;715;799
17 Tocantins;580;635;834;1080
21 Maranhão;826;865;1851;2378
22 Piauí;730;780;1316;1544
23 Ceará;1972;2129;1756;2028
24 Rio Grande do Norte;526;587;1119;1334
25 Paraíba;573;628;1028;1135
26 Pernambuco;2288;2485;2370;2685
27 Alagoas;1257;1420;1169;1392
28 Sergipe;498;565;903;1091
29 Bahia;1704;1851;4633;5323
31 Minas Gerais;4831;5533;4880;5642
32 Espírito Santo;21;23;1542;1894
33 Rio de Janeiro;5270;5838;5013;5819
35 São Paulo;11158;12630;13790;14579
41 Paraná;3292;3783;6803;7918
42 Santa Catarina;1906;2168;4199;4890
43 Rio Grande do Sul;3275;3743;4514;5215
50 Mato Grosso do Sul;614;707;2114;2451
51 Mato Grosso;638;719;483;2715
52 Goiás;2227;2489;3573;4110
53 Distrito Federal;1420;1592;736;882
00 Ignorado/exterior;1964;2218;;
Total;53709;59992;74810;87545
