UF;Estupro;Estupro (taxa por 100 mil mulheres);Estupro Vulnerável;Estupro Vulnerável (taxa por 100 mil mulheres);Total de Estupros;Total de Estupros (taxa por 100 mil mulheres)
Brasil;18.883;17,3;55.927;51,3;74.810;68,7
Acre;204;46,5;656;149,5;860;196
Alagoas;275;16,5;894;53,6;1.169;70,1
Amapá;169;42,1;546;136,1;715;178,2
Amazonas;356;16,7;997;46,8;1.353;63,5
Bahia;1.156;15,1;3.477;45,6;4.633;60,7
Ceará;316;6,7;1.440;30,3;1.756;37
Distrito Federal;316;20,3;420;27;736;47,2
Espírito Santo;414;19,8;1.128;53,9;1.542;73,7
Goiás;700;18,8;2.873;77,2;3.573;96
Maranhão;379;10,7;1.472;41,4;1.851;52,1
Mato Grosso;361;19;1.637;86,1;1.998;105,1
Mato Grosso do Sul;641;43,8;1.473;100,6;2.114;144,3
Minas Gerais;1.381;12,7;3.499;32,2;4.880;44,9
Pará;839;19,4;3.976;92,2;4.815;111,6
Paraíba;239;11,2;789;36,9;1.028;48,1
Paraná;1.708;28,2;5.095;84,3;6.803;112,5
Pernambuco;715;14,4;1.655;33,4;2.370;47,8
Piauí;258;15;1.058;61,4;1.316;76,3
Rio de Janeiro;1.583;17,5;3.430;38;5.013;55,5
Rio Grande do Norte;276;15,6;843;47,7;1.119;63,3
Rio Grande do Sul;1.062;18,4;3.452;59,7;4.514;78,1
Rondônia;330;38;1.163;134;1.493;172
Roraima;171;48,4;677;191,8;848;240,3
Santa Catarina;1.361;33,4;2.838;69,7;4.199;103,1
São Paulo;3.306;13,9;10.484;44,2;13.790;58,1
Sergipe;208;17,5;695;58,5;903;76
Tocantins;159;20,3;775;98,9;934;119,2
